model_entity_id,kind,uniprot_1,uniprot_2,gene_1,gene_2,tax_1,tax_2,ipTM,ipSAE_AB,ipSAE_BA,pDockQ,pDockQ2_AB,n_clash_backbone,n_interactions,path,bytes
AF-0000000208991763,heterodimer,A0A0D2DJ82,A0A0D2GPS6,Z517_07564,Z517_07131,1442368,1442368,0.8235,0.800666,0.676681,0.453777,0.395108,0.0,69.0,structures/AF-0000000208991763.cif,361633
AF-0000000209576032,heterodimer,A0A175W6X9,A0A175W9W8,MMYC01_204583,MMYC01_202464,100816,100816,0.8324,0.682687,0.766234,0.659297,0.661587,0.0,81.0,structures/AF-0000000209576032.cif,377358
AF-0000000209575602,heterodimer,A0A175W6R9,A0A175W8R5,MMYC01_202582,MMYC01_202838,100816,100816,0.5774,0.767342,0.817508,0.70984,0.714025,0.0,151.0,structures/AF-0000000209575602.cif,357728
AF-0000000209336797,heterodimer,A0A0K0JK29,A0A5S6PI76,Bm5716,Bma-trpp-9,6279,6279,0.8825,0.625562,0.567523,0.319753,0.360087,0.0,37.0,structures/AF-0000000209336797.cif,720589
AF-0000000209333007,heterodimer,A0A0K0JB19,A0A4E9EQG0,Bma-atgp-1.3,Bm17875,6279,6279,0.7763,0.630227,0.620791,0.493246,0.315122,4.0,59.0,structures/AF-0000000209333007.cif,718340
AF-0000000209331179,heterodimer,A0A0K0J890,A0A0K0JIH7,bma-vps-32.1,Bma-alx-1,6279,6279,0.4934,0.601174,0.0979213,0.393299,0.237237,6.0,34.0,structures/AF-0000000209331179.cif,714060
AF-0000000209124964,heterodimer,A0A0H5S0G8,A0A0J9XRQ0,bma-apa-2,bma-aps-1,6279,6279,0.9227,0.797988,0.825496,0.66504,0.46783,0.0,95.0,structures/AF-0000000209124964.cif,732937
AF-0000000210462349,heterodimer,Q6PCB8,O60669,EMB,SLC16A7,9606,9606,0.7689,0.7797,0.561899,0.488441,0.817916,0.0,39.0,structures/AF-0000000210462349.cif,528841
AF-0000000203795496,heterodimer,P29829,P25157,Gbeta76C,cta,7227,7227,0.7759,0.484435,0.604713,0.335465,0.348131,0.0,40.0,structures/AF-0000000203795496.cif,538814
AF-0000000210908674,heterodimer,Q03323,P43132,SDC1,BRE2,559292,559292,0.8172,0.838604,0.616458,0.396592,0.295563,0.0,70.0,structures/AF-0000000210908674.cif,460255
AF-0000000211817646,heterodimer,Q9Y2H1,Q9H8S9,STK38L,MOB1A,9606,9606,0.8202,0.7476,0.47456,0.494664,0.462239,1.0,58.0,structures/AF-0000000211817646.cif,468751
AF-0000000207142122,heterodimer,I1JDU7,I1JIL3,LOC100796862,LOC100775767,3847,3847,0.7541,0.724461,0.710357,0.384805,0.40444,0.0,34.0,structures/AF-0000000207142122.cif,749001
AF-0000000207172363,heterodimer,I1JJ06,I1N2W7,LOC100813925,LOC100813758,3847,3847,0.7763,0.440657,0.670058,0.216509,0.24979,0.0,40.0,structures/AF-0000000207172363.cif,467264
AF-0000000207174492,heterodimer,I1JTW3,K7LC74,LOC100794619,LOC100803764,3847,3847,0.8791,0.707919,0.733857,0.483743,0.746509,0.0,34.0,structures/AF-0000000207174492.cif,464251
AF-0000000207207353,heterodimer,I1M0N9,I1MF78,LOC100814371,LOC100499916,3847,3847,0.7183,0.69605,0.719691,0.279335,0.853307,0.0,10.0,structures/AF-0000000207207353.cif,184500
AF-0000000066921499,homodimer,A0A0K0EPM3,A0A0K0EPM3,,,6248,6248,0.91,0.914482,0.914528,0.716836,0.839146,0.0,131.0,structures/AF-0000000066921499.cif,446548
AF-0000000066921512,homodimer,A0AAF5CWZ5,A0AAF5CWZ5,,,6248,6248,0.8,0.765529,0.76224,0.37711,0.780432,0.0,33.0,structures/AF-0000000066921512.cif,388613
AF-0000000069171321,homodimer,A0A8C5A584,A0A8C5A584,gmcl1,gmcl1,8049,8049,0.8,0.800624,0.801184,0.599541,0.619932,0.0,70.0,structures/AF-0000000069171321.cif,592508
AF-0000000069171398,homodimer,A0A8C5A551,A0A8C5A551,MEF2A,MEF2A,8049,8049,0.8,0.77631,0.776381,0.689073,0.618663,0.0,104.0,structures/AF-0000000069171398.cif,130298
AF-0000000071403338,homodimer,A0A6P6PHS8,A0A6P6PHS8,LOC113099623,LOC113099623,7957,7957,0.9,0.835531,0.835654,0.560389,0.836316,0.0,41.0,structures/AF-0000000071403338.cif,306222
AF-0000000071403352,homodimer,A0A6P6QI07,A0A6P6QI07,nudt13,nudt13,7957,7957,0.9,0.88489,0.88525,0.697325,0.464969,0.0,172.0,structures/AF-0000000071403352.cif,449321
AF-0000000073564954,homodimer,A0AA47NDZ0,A0AA47NDZ0,DAPP1,DAPP1,89951,89951,0.89,0.818983,0.819278,0.724258,0.727475,0.0,240.0,structures/AF-0000000073564954.cif,328583
AF-0000000073564956,homodimer,A0AA47NMT5,A0AA47NMT5,HPGD_0,HPGD_0,89951,89951,0.96,0.934143,0.933917,0.695163,0.829222,0.0,113.0,structures/AF-0000000073564956.cif,326654
AF-0000000075778490,homodimer,A0ABM3N4R5,A0ABM3N4R5,LOC113516889,LOC113516889,7137,7137,0.86,0.880408,0.880971,0.394495,0.572759,0.0,44.0,structures/AF-0000000075778490.cif,835629
AF-0000000075778497,homodimer,A0A6J1W8D8,A0A6J1W8D8,LOC113509637,LOC113509637,7137,7137,0.94,0.930343,0.930474,0.722052,0.918303,0.0,137.0,structures/AF-0000000075778497.cif,634410
AF-0000000077963081,homodimer,A0A553MV59,A0A553MV59,DNTS_023962,DNTS_023962,2873325,2873325,0.82,0.815431,0.815249,0.703342,0.470043,0.0,177.0,structures/AF-0000000077963081.cif,1210638
AF-0000000077963101,homodimer,A0A553P5G2,A0A553P5G2,DNTS_011400,DNTS_011400,2873325,2873325,0.9,0.86374,0.862846,0.684281,0.820379,0.0,93.0,structures/AF-0000000077963101.cif,552005
AF-0000000080169293,homodimer,A0A2G9RES5,A0A2G9RES5,AB205_0002950,AB205_0002950,8400,8400,0.89,0.856055,0.856498,0.611856,0.532336,0.0,78.0,structures/AF-0000000080169293.cif,555877
AF-0000000080169333,homodimer,A0A2G9SCW5,A0A2G9SCW5,AB205_0118760,AB205_0118760,8400,8400,0.83,0.785686,0.840077,0.634871,0.635474,0.0,95.0,structures/AF-0000000080169333.cif,423201
AF-0000000082382308,homodimer,A0A843XQB4,A0A843XQB4,Taro_054179,Taro_054179,4460,4460,0.9,0.886476,0.8853,0.711419,0.754509,0.0,165.0,structures/AF-0000000082382308.cif,613180
