query,target,query_kind,target_kind,multimer_tm,target_tm,query_chains,target_chains,both_chains_aligned
AF-0000000210560337,AF-0000000210462349,heterodimer,heterodimer,0.15253,0.10384,"A,B","B,A",True
AF-0000000073564956,AF-0000000209333007,homodimer,heterodimer,0.14865,0.07045,B,A,False
AF-0000000209145741,AF-0000000207244608,heterodimer,heterodimer,0.14863,0.0255,B,A,False
AF-0000000209144594,AF-0000000207172363,heterodimer,heterodimer,0.14587,0.03413,"A,B","B,A",True
AF-0000000209144594,AF-0000000071403352,heterodimer,homodimer,0.14504,0.03498,A,B,False
AF-0000000210410642,AF-0000000207172363,heterodimer,heterodimer,0.14477,0.11276,B,A,False
AF-0000000209145729,AF-0000000071403352,heterodimer,homodimer,0.14345,0.03649,"A,B","B,A",True
AF-0000000073564956,AF-0000000077963101,homodimer,homodimer,0.14144,0.08891,A,A,False
AF-0000000073564956,AF-0000000075778490,homodimer,homodimer,0.14038,0.05922,B,B,False
AF-0000000209144594,AF-0000000209124964,heterodimer,heterodimer,0.13835,0.02082,"A,B","A,B",True
AF-0000000209145729,AF-0000000207172363,heterodimer,heterodimer,0.13567,0.03348,"A,B","B,A",True
AF-0000000069171398,AF-0000000209576032,homodimer,heterodimer,0.13505,0.04331,B,B,False
AF-0000000207207353,AF-0000000207142122,heterodimer,heterodimer,0.13385,0.03227,"A,B","B,A",True
AF-0000000209145741,AF-0000000209124964,heterodimer,heterodimer,0.13378,0.02148,"A,B","B,A",True
AF-0000000207207353,AF-0000000075778497,heterodimer,homodimer,0.13284,0.03593,A,A,False
AF-0000000209145729,AF-0000000075778490,heterodimer,homodimer,0.13212,0.01861,B,B,False
AF-0000000209145741,AF-0000000210560337,heterodimer,heterodimer,0.13203,0.04216,B,B,False
AF-0000000209144594,AF-0000000203805733,heterodimer,heterodimer,0.13066,0.03925,A,B,False
AF-0000000209144594,AF-0000000203805746,heterodimer,heterodimer,0.13065,0.03939,A,B,False
AF-0000000209144594,AF-0000000210560337,heterodimer,heterodimer,0.13019,0.03896,A,B,False
AF-0000000210410642,AF-0000000207244608,heterodimer,heterodimer,0.12929,0.06921,B,B,False
AF-0000000209144594,AF-0000000075778490,heterodimer,homodimer,0.12879,0.0172,A,A,False
AF-0000000209145729,AF-0000000207244608,heterodimer,heterodimer,0.1281,0.02173,B,A,False
AF-0000000069171398,AF-0000000209336797,homodimer,heterodimer,0.12763,0.0209,B,A,False
AF-0000000207207353,AF-0000000210410642,heterodimer,heterodimer,0.12726,0.06316,A,A,False
AF-0000000209145729,AF-0000000207244606,heterodimer,heterodimer,0.12667,0.02148,B,A,False
AF-0000000210410642,AF-0000000209331179,heterodimer,heterodimer,0.12574,0.06327,"A,B","A,B",True
AF-0000000207207353,AF-0000000211817646,heterodimer,heterodimer,0.12561,0.05006,"A,B","A,B",True
AF-0000000209145729,AF-0000000066921512,heterodimer,homodimer,0.12418,0.03605,"A,B","B,A",True
AF-0000000210560337,AF-0000000209336797,heterodimer,heterodimer,0.12392,0.06247,"A,B","A,B",True
AF-0000000209145741,AF-0000000075778490,heterodimer,homodimer,0.12333,0.01758,"A,B","B,A",True
AF-0000000209144594,AF-0000000066921512,heterodimer,homodimer,0.12271,0.03377,A,B,False
AF-0000000209336797,AF-0000000207142122,heterodimer,heterodimer,0.12189,0.11788,"A,B","B,A",True
AF-0000000207207353,AF-0000000207172363,heterodimer,heterodimer,0.12174,0.04706,A,A,False
AF-0000000207207353,AF-0000000210333334,heterodimer,heterodimer,0.12049,0.19095,"A,B","A,B",True
AF-0000000209145729,AF-0000000209333007,heterodimer,heterodimer,0.11961,0.01893,B,A,False
AF-0000000209145741,AF-0000000208991763,heterodimer,heterodimer,0.11866,0.03728,"A,B","A,B",True
AF-0000000207207353,AF-0000000207220315,heterodimer,heterodimer,0.11853,0.03158,A,A,False
AF-0000000209144594,AF-0000000209333007,heterodimer,heterodimer,0.11668,0.01751,B,A,False
AF-0000000069171398,AF-0000000210908674,homodimer,heterodimer,0.11641,0.03047,B,B,False
AF-0000000069171398,AF-0000000209124964,homodimer,heterodimer,0.11638,0.01901,B,B,False
AF-0000000073564956,AF-0000000207302745,homodimer,heterodimer,0.11575,0.05878,B,B,False
AF-0000000209145741,AF-0000000066921512,heterodimer,homodimer,0.11524,0.03384,A,B,False
AF-0000000207244608,AF-0000000207142122,heterodimer,heterodimer,0.11456,0.10396,B,B,False
AF-0000000209145729,AF-0000000203805733,heterodimer,heterodimer,0.11421,0.03619,"A,B","A,B",True
AF-0000000209145729,AF-0000000203805746,heterodimer,heterodimer,0.11377,0.03618,"A,B","A,B",True
AF-0000000209145741,AF-0000000203805733,heterodimer,heterodimer,0.11367,0.03643,A,B,False
AF-0000000207244606,AF-0000000207142122,heterodimer,heterodimer,0.11365,0.10314,B,B,False
AF-0000000069171321,AF-0000000207142122,homodimer,heterodimer,0.11288,0.08938,A,A,False
AF-0000000209145729,AF-0000000209018867,heterodimer,heterodimer,0.11277,0.03503,A,A,False
AF-0000000208991763,AF-0000000207142122,heterodimer,heterodimer,0.11265,0.05582,A,A,False
AF-0000000209145729,AF-0000000207220315,heterodimer,heterodimer,0.11259,0.01915,B,A,False
AF-0000000209145729,AF-0000000210908674,heterodimer,heterodimer,0.11198,0.02849,B,B,False
AF-0000000209018867,AF-0000000082382308,heterodimer,homodimer,0.11158,0.06598,A,A,False
AF-0000000210410642,AF-0000000207220315,heterodimer,heterodimer,0.1112,0.0597,A,B,False
AF-0000000209144594,AF-0000000203795496,heterodimer,heterodimer,0.11085,0.02264,A,A,False
AF-0000000207244606,AF-0000000209336797,heterodimer,heterodimer,0.11075,0.10392,B,B,False
AF-0000000073564954,AF-0000000207172363,homodimer,heterodimer,0.11054,0.07569,A,A,False
AF-0000000073564956,AF-0000000077963081,homodimer,homodimer,0.11023,0.02983,B,A,False
AF-0000000073564956,AF-0000000075778497,homodimer,homodimer,0.11018,0.05696,"A,B","A,B",True
AF-0000000208299550,AF-0000000207220315,heterodimer,heterodimer,0.1094,0.03292,A,B,False
AF-0000000207244608,AF-0000000209336797,heterodimer,heterodimer,0.10845,0.10176,B,B,False
AF-0000000209145741,AF-0000000207220315,heterodimer,heterodimer,0.10695,0.0184,B,B,False
AF-0000000209145741,AF-0000000207172363,heterodimer,heterodimer,0.10613,0.0265,A,A,False
AF-0000000207244608,AF-0000000209124964,heterodimer,heterodimer,0.10513,0.09838,B,A,False
AF-0000000209145741,AF-0000000209336797,heterodimer,heterodimer,0.10486,0.01688,B,A,False
AF-0000000209144594,AF-0000000209336797,heterodimer,heterodimer,0.1048,0.01581,A,B,False
AF-0000000207207353,AF-0000000203795496,heterodimer,heterodimer,0.10399,0.0351,A,B,False
AF-0000000069171398,AF-0000000082382308,homodimer,homodimer,0.10366,0.01959,B,B,False
AF-0000000209145741,AF-0000000210908674,heterodimer,heterodimer,0.10328,0.02658,A,B,False
AF-0000000207207353,AF-0000000071403338,heterodimer,homodimer,0.10278,0.06082,A,B,False
AF-0000000208991763,AF-0000000210410642,heterodimer,heterodimer,0.10251,0.10457,A,B,False
AF-0000000209144594,AF-0000000066921499,heterodimer,homodimer,0.10249,0.02422,A,A,False
AF-0000000209144594,AF-0000000207220315,heterodimer,heterodimer,0.10221,0.01648,A,A,False
AF-0000000208299550,AF-0000000207142122,heterodimer,heterodimer,0.10202,0.02777,B,B,False
AF-0000000209144594,AF-0000000209018867,heterodimer,heterodimer,0.10198,0.03003,"A,B","B,A",True
AF-0000000209145729,AF-0000000209336797,heterodimer,heterodimer,0.10077,0.01604,"A,B","A,B",True
AF-0000000069171398,AF-0000000207244608,homodimer,heterodimer,0.10043,0.01753,B,B,False
AF-0000000209145729,AF-0000000209576032,heterodimer,heterodimer,0.10015,0.03122,B,B,False
AF-0000000210410642,AF-0000000207244606,heterodimer,heterodimer,0.09969,0.05336,B,B,False
AF-0000000208299550,AF-0000000209333007,heterodimer,heterodimer,0.09948,0.02785,B,B,False
AF-0000000069171398,AF-0000000069171321,homodimer,homodimer,0.09931,0.01986,"A,B","A,B",True
AF-0000000069171321,AF-0000000209336797,homodimer,heterodimer,0.09921,0.08123,A,B,False
AF-0000000209018867,AF-0000000209576032,heterodimer,heterodimer,0.09889,0.09925,B,B,False
AF-0000000209145729,AF-0000000075778497,heterodimer,homodimer,0.09865,0.01703,B,A,False
AF-0000000209145741,AF-0000000203805746,heterodimer,heterodimer,0.09859,0.03172,B,B,False
AF-0000000210410642,AF-0000000211817646,heterodimer,heterodimer,0.09839,0.079,"A,B","A,B",True
AF-0000000208170815,AF-0000000209018867,heterodimer,heterodimer,0.09838,0.071,A,B,False
AF-0000000210560337,AF-0000000209124964,heterodimer,heterodimer,0.09797,0.04925,B,A,False
AF-0000000207207353,AF-0000000208299550,heterodimer,heterodimer,0.09783,0.08664,"A,B","B,A",True
AF-0000000069171321,AF-0000000207244608,homodimer,heterodimer,0.09773,0.08527,B,B,False
AF-0000000208299550,AF-0000000203805746,heterodimer,heterodimer,0.09755,0.05487,"A,B","A,B",True
AF-0000000209145729,AF-0000000208991763,heterodimer,heterodimer,0.09714,0.03017,A,B,False
AF-0000000209145741,AF-0000000209018867,heterodimer,heterodimer,0.0966,0.03035,A,A,False
AF-0000000209144594,AF-0000000075778497,heterodimer,homodimer,0.09645,0.01579,A,A,False
AF-0000000209144594,AF-0000000207302745,heterodimer,heterodimer,0.09645,0.01551,A,B,False
AF-0000000209145741,AF-0000000071403352,heterodimer,homodimer,0.09637,0.0248,B,A,False
AF-0000000209145729,AF-0000000066921499,heterodimer,homodimer,0.09615,0.02397,A,B,False
AF-0000000207244606,AF-0000000209124964,heterodimer,heterodimer,0.09573,0.08958,B,A,False
AF-0000000208991763,AF-0000000209124964,heterodimer,heterodimer,0.09553,0.04882,A,A,False
AF-0000000069171398,AF-0000000209018867,homodimer,heterodimer,0.09461,0.03024,B,A,False
AF-0000000209145741,AF-0000000069171321,heterodimer,homodimer,0.0946,0.0186,A,B,False
AF-0000000209145741,AF-0000000207302745,heterodimer,heterodimer,0.09444,0.0162,B,A,False
AF-0000000207207353,AF-0000000066921499,heterodimer,homodimer,0.09388,0.03666,"A,B","A,B",True
AF-0000000069171398,AF-0000000203805746,homodimer,heterodimer,0.09369,0.03066,A,A,False
AF-0000000071403338,AF-0000000209124964,homodimer,heterodimer,0.09369,0.03937,A,A,False
AF-0000000208299550,AF-0000000210908674,heterodimer,heterodimer,0.09315,0.04192,"A,B","B,A",True
AF-0000000208991763,AF-0000000207244606,heterodimer,heterodimer,0.09314,0.05086,"A,B","B,A",True
AF-0000000209124964,AF-0000000209336797,heterodimer,heterodimer,0.09267,0.09292,"A,B","B,A",True
AF-0000000207207353,AF-0000000082382308,heterodimer,homodimer,0.09255,0.02662,"A,B","A,B",True
AF-0000000209018867,AF-0000000211817646,heterodimer,heterodimer,0.0922,0.07553,"A,B","B,A",True
AF-0000000208991763,AF-0000000209336797,heterodimer,heterodimer,0.09205,0.04717,A,B,False
AF-0000000207207353,AF-0000000210560337,heterodimer,heterodimer,0.092,0.0455,B,A,False
AF-0000000073564956,AF-0000000203795496,homodimer,heterodimer,0.09189,0.05928,A,B,False
AF-0000000073564954,AF-0000000209336797,homodimer,heterodimer,0.09166,0.04047,B,A,False
AF-0000000210462349,AF-0000000209336797,heterodimer,heterodimer,0.09154,0.06779,A,B,False
AF-0000000207244606,AF-0000000069171321,heterodimer,homodimer,0.09136,0.10471,B,A,False
AF-0000000209145729,AF-0000000207174492,heterodimer,heterodimer,0.09128,0.02221,B,A,False
AF-0000000209144594,AF-0000000207174492,heterodimer,heterodimer,0.09121,0.02104,A,A,False
AF-0000000073564954,AF-0000000208991763,homodimer,heterodimer,0.09108,0.07849,B,B,False
AF-0000000210410642,AF-0000000210462349,heterodimer,heterodimer,0.09077,0.06157,B,B,False
AF-0000000069171398,AF-0000000071403352,homodimer,homodimer,0.09076,0.02376,"A,B","B,A",True
AF-0000000208991763,AF-0000000207220315,heterodimer,heterodimer,0.08999,0.04929,A,A,False
AF-0000000069171398,AF-0000000208991763,homodimer,heterodimer,0.08979,0.02869,"A,B","A,B",True
AF-0000000211817646,AF-0000000207244608,heterodimer,heterodimer,0.08975,0.05983,"A,B","A,B",True
AF-0000000210410642,AF-0000000069171321,heterodimer,homodimer,0.08944,0.05487,B,A,False
AF-0000000207172363,AF-0000000209124964,heterodimer,heterodimer,0.0893,0.05743,A,A,False
AF-0000000209144594,AF-0000000208991763,heterodimer,heterodimer,0.08903,0.02621,"A,B","B,A",True
AF-0000000209145729,AF-0000000209331179,heterodimer,heterodimer,0.08815,0.01406,"A,B","A,B",True
AF-0000000069171321,AF-0000000209124964,homodimer,heterodimer,0.0878,0.07169,B,A,False
AF-0000000071403338,AF-0000000207172363,homodimer,heterodimer,0.08772,0.05731,B,A,False
AF-0000000209145741,AF-0000000209576032,heterodimer,heterodimer,0.08717,0.02749,B,A,False
AF-0000000209144594,AF-0000000209576032,heterodimer,heterodimer,0.08704,0.02572,B,A,False
AF-0000000073564956,AF-0000000207220315,homodimer,heterodimer,0.08671,0.04417,"A,B","A,B",True
AF-0000000071403338,AF-0000000207220315,homodimer,heterodimer,0.08654,0.03897,"A,B","A,B",True
AF-0000000209145729,AF-0000000069171321,heterodimer,homodimer,0.0863,0.01678,B,B,False
AF-0000000209145741,AF-0000000075778497,heterodimer,homodimer,0.08592,0.01501,A,A,False
AF-0000000069171398,AF-0000000207172363,homodimer,heterodimer,0.0854,0.02168,"A,B","A,B",True
AF-0000000207207353,AF-0000000209576032,heterodimer,heterodimer,0.08509,0.04155,A,A,False
AF-0000000210462349,AF-0000000209333007,heterodimer,heterodimer,0.08487,0.06251,"A,B","A,B",True
AF-0000000209144594,AF-0000000069171321,heterodimer,homodimer,0.0848,0.01563,"A,B","A,B",True
AF-0000000207244608,AF-0000000209333007,heterodimer,heterodimer,0.08449,0.07884,"A,B","A,B",True
AF-0000000071403338,AF-0000000210462349,homodimer,heterodimer,0.08404,0.04781,A,B,False
AF-0000000071403338,AF-0000000210410642,homodimer,heterodimer,0.08313,0.06973,A,B,False
AF-0000000080169293,AF-0000000207244608,homodimer,heterodimer,0.083,0.06916,B,B,False
AF-0000000203795496,AF-0000000207244608,heterodimer,heterodimer,0.08284,0.06522,"A,B","A,B",True
AF-0000000071403338,AF-0000000069171321,homodimer,homodimer,0.08268,0.04255,B,B,False
AF-0000000208170815,AF-0000000209576032,heterodimer,heterodimer,0.08265,0.05987,B,B,False
AF-0000000073564954,AF-0000000203795496,homodimer,heterodimer,0.08253,0.04933,A,A,False
AF-0000000209145741,AF-0000000073564956,heterodimer,homodimer,0.08181,0.02764,B,B,False
AF-0000000209018867,AF-0000000075778497,heterodimer,homodimer,0.08174,0.04544,A,B,False
AF-0000000071403338,AF-0000000209336797,homodimer,heterodimer,0.08172,0.03443,"A,B","A,B",True
AF-0000000080169333,AF-0000000077963081,homodimer,homodimer,0.08127,0.02785,A,B,False
AF-0000000207142122,AF-0000000209331179,heterodimer,heterodimer,0.08115,0.08407,B,B,False
AF-0000000209144594,AF-0000000069171398,heterodimer,homodimer,0.08113,0.07475,A,A,False
AF-0000000207302745,AF-0000000075778497,heterodimer,homodimer,0.08105,0.08251,B,B,False
AF-0000000073564954,AF-0000000075778490,homodimer,homodimer,0.08096,0.03165,"A,B","B,A",True
AF-0000000073564956,AF-0000000207142122,homodimer,heterodimer,0.08069,0.03719,B,B,False
AF-0000000077963101,AF-0000000077963081,homodimer,homodimer,0.08061,0.0347,A,A,False
AF-0000000071403338,AF-0000000203795496,homodimer,heterodimer,0.08046,0.04589,A,B,False
AF-0000000210560337,AF-0000000203805733,heterodimer,heterodimer,0.0802,0.0805,"A,B","A,B",True
AF-0000000209576032,AF-0000000209124964,heterodimer,heterodimer,0.08017,0.04082,"A,B","A,B",True
AF-0000000071403338,AF-0000000208991763,homodimer,heterodimer,0.07992,0.06572,A,A,False
AF-0000000209145729,AF-0000000207302745,heterodimer,heterodimer,0.07992,0.01356,A,A,False
AF-0000000208991763,AF-0000000080169293,heterodimer,homodimer,0.07982,0.0523,A,B,False
AF-0000000208299550,AF-0000000209336797,heterodimer,heterodimer,0.0798,0.02246,B,A,False
AF-0000000069171398,AF-0000000203805733,homodimer,heterodimer,0.07958,0.02594,A,B,False
AF-0000000203805746,AF-0000000209336797,heterodimer,heterodimer,0.07925,0.03966,B,B,False
AF-0000000209018867,AF-0000000207244608,heterodimer,heterodimer,0.07914,0.04322,"A,B","B,A",True
AF-0000000209575602,AF-0000000207244606,heterodimer,heterodimer,0.07903,0.04308,A,B,False
AF-0000000071403338,AF-0000000209331179,homodimer,heterodimer,0.07902,0.03336,"A,B","B,A",True
AF-0000000208170815,AF-0000000075778490,heterodimer,homodimer,0.07883,0.02581,A,B,False
AF-0000000207207353,AF-0000000077963081,heterodimer,homodimer,0.07868,0.01114,A,A,False
AF-0000000071403338,AF-0000000207244606,homodimer,heterodimer,0.07857,0.03528,B,B,False
AF-0000000071403338,AF-0000000207142122,homodimer,heterodimer,0.07852,0.032,"A,B","A,B",True
AF-0000000209145741,AF-0000000203795496,heterodimer,heterodimer,0.07788,0.01697,"A,B","A,B",True
