stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
09b8a515c554641a9f9fb5689cbfd06d,162,A0A287KSY6,train,0.5096,0.4455,A0A287KSY6,0.5096,0.4455,0.005,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a5bcf420320c5c54ad1a6de76c75,161,A0A7L5YE95,train,0.6517,0.5723,A0A7L5YE95,0.6517,0.5723,0.309,qtmscore,12,11,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a72c154ee9441ccdfd11e71eded6,164,A0A0K0JNU0,train,0.4794,0.4684,A0A0K0JNU0,0.4794,0.4684,0.012,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a82ef076a3ef76ca541d4185b3c3,162,A0A2V7EBY9,train,0.6785,0.6245,A0A2V7EBY9,0.6785,0.6245,0.083,qtmscore,50,49,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a8d9c3932d0c5c2dc51691663cbd,163,A0A2T7PRG0,train,0.7775,0.7732,A0A2T7PRG0,0.7775,0.7732,0.028,qtmscore,269,258,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a8e02c6a437ac5c18fab9f9a05d9,161,A0A2T6L7V1,train,0.9356,0.8462,A0A2T6L7V1,0.9356,0.8462,0.304,qtmscore,22,22,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a933662007f4dc687a344d9611b9,159,A0A316LE31,train,0.4581,0.4512,A0A316LE31,0.4581,0.4512,0.017,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a9672c6943852c85e155df2e7f52,163,A0A354WS91,train,0.9341,0.8853,A0A354WS91,0.9341,0.8853,0.559,qtmscore,69,66,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8aa3a46fd69e7256cbd3393092a23,163,A0A537K071,train,0.6439,0.5836,A0A537K071,0.6439,0.5836,0.043,qtmscore,11,10,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8aa3c54480e2678f7d83566198322,161,A0A850M3K7,train,0.516,0.5087,A0A850M3K7,0.516,0.5087,0.026,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ab35a1b62cfa44e88bbd6f4891e4,164,A0A845LG54,train,0.9321,0.8942,A0A845LG54,0.9321,0.8942,0.296,qtmscore,77,76,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ada6e07778da12b09e063155e496,163,A0A2G8JE67,train,0.44,0.4139,A0A2G8JE67,0.44,0.4139,0.042,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8adc12bfc91b18b010321d9aa91c8,164,A0A6J0XT58,train,0.768,0.549,A0A6J0XT58,0.768,0.549,0.011,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ae1a0129a36798b248548f139cdb,163,A0A6J0CBV4,train,0.6269,0.5859,A0A6J0CBV4,0.6269,0.5859,0.039,qtmscore,39,38,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ae8b93e736f644d38f9610aa94c9,159,A0A803TEL1,train,0.776,0.6308,A0A803TEL1,0.776,0.6308,0.094,qtmscore,41,40,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8aef2f856078dbaf767080abb48e0,164,A0A2W1Z404,train,0.5952,0.5923,A0A2W1Z404,0.5952,0.5923,0.06,qtmscore,34,34,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b03fcc5cc068d28a8ee12311fadf,161,A0A1V5NBL9,train,0.8791,0.7813,A0A1V5NBL9,0.8791,0.7813,0.25,qtmscore,48,47,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b241f8a91a3c258fedff209b145b,159,E6PHB4,train,0.7112,0.553,E6PHB4,0.7112,0.553,0.128,qtmscore,20,19,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b30677747e95b881b36814d5492b,163,A0A6B1PU89,train,0.9032,0.898,A0A6B1PU89,0.9032,0.898,0.297,qtmscore,35,35,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b336b589fbf524b9923b5c0f8fb2,160,A0A7S1QL83,val,0.66,0.5951,A0A2E9IUU7,0.7795,0.5742,0.091,qtmscore,9,8,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b35680a269b4315e6c5440ec299b,159,A0A7R9P657,train,0.8709,0.8607,A0A7R9P657,0.8709,0.8607,0.173,qtmscore,286,283,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b3628ee12eb223bb5fd391fce9b2,164,A0A4Q2UGH8,train,0.8096,0.8051,A0A4Q2UGH8,0.8096,0.8051,0.101,qtmscore,116,115,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b4f6487f963c65b4be8b48238092,164,A0A243AV83,train,0.7961,0.6716,A0A243AV83,0.7961,0.6716,0.17,qtmscore,82,81,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b7916beb7aa2b8dc1b5ff356b025,159,F7VHT3,train,0.5112,0.4301,F7VHT3,0.5112,0.4301,0.039,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b7f297cbcba9dc64a7bf4915f479,160,A0A8B2NXC5,train,0.916,0.9105,A0A8B2NXC5,0.916,0.9105,0.26,qtmscore,20,20,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8b953d7a55a9f4ed12477ab0b5e9f,164,A0A3D3NS48,train,0.8112,0.6985,A0A3D3NS48,0.8112,0.6985,0.337,qtmscore,9,8,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ba719b1b0027bf665bb1ac44ccc0,159,A0A6P7JUN0,train,0.7259,0.7145,A0A6P7JUN0,0.7259,0.7145,0.008,qtmscore,256,251,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ba8a87d8cda887b5e8de483798c6,164,R7KE59,train,0.9167,0.9114,R7KE59,0.9167,0.9114,0.311,qtmscore,237,227,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bbe0555440447bb4c903f309bd51,159,A0A1F8S519,train,0.8284,0.7066,A0A1F8S519,0.8284,0.7066,0.128,qtmscore,50,49,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bc34b2b51f7d7520108ee203144d,161,A0A1G2ZMB3,train,0.8766,0.8207,A0A1G2ZMB3,0.8766,0.8207,0.266,qtmscore,283,279,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bca2cbf133af982a142ef2fd8173,159,A0A543PUH1,train,0.5028,0.4956,A0A543PUH1,0.5028,0.4956,0.02,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bcf5d31cf165c83b0c3012d4f7a9,164,C5LUB7,train,0.5929,0.5204,C5LUB7,0.5929,0.5204,0.05,qtmscore,4,4,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bd006ae5157f7dce3516a988cd9f,162,A0A226D173,train,0.7905,0.725,A0A226D173,0.7905,0.725,0.07,qtmscore,281,273,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8bd24cbef82320fc3310448e51dea,162,A0A2E8K8T0,train,0.9274,0.8894,A0A2E8K8T0,0.9274,0.8894,0.237,qtmscore,142,135,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8be0b71a3f4873c9a49565031ce70,159,A0A1E4ZQD2,train,0.6052,0.5837,A0A1E4ZQD2,0.6052,0.5837,0.017,qtmscore,64,61,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8be78d8180d574dbde59f07b47e24,160,A0A2E1M9X9,train,0.5273,0.4691,A0A2E1M9X9,0.5273,0.4691,0.037,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c079cddd6936ef9e156437e7109d,163,A0A7R9QVK1,train,0.5566,0.5204,A0A7R9QVK1,0.5566,0.5204,0.021,qtmscore,2,2,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c0ab244d49cbfe2f10f3e216ca46,159,A0A6P2B5E6,train,0.8114,0.8068,A0A6P2B5E6,0.8114,0.8068,0.16,qtmscore,12,12,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c0d745f204ed29e3e98b80330f1c,163,A0A6P1R1S5,train,0.7869,0.7309,A0A6P1R1S5,0.7869,0.7309,0.191,qtmscore,40,39,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c19ed563341a721a4a37fb0c36f4,159,A0A0M1J9U7,test,0.4396,0.4374,K5VTZ9,0.4697,0.4364,0.028,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c476390668f50479723218b24854,161,A0A5C5VU64,train,0.6026,0.5993,A0A5C5VU64,0.6026,0.5993,0.052,qtmscore,43,43,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c481efd761d0d7340de676792c73,162,A0A0A1U296,train,0.5717,0.4614,A0A0A1U296,0.5717,0.4614,0.016,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c505c9c97ff93527ee9283e3684e,159,A0A2G3ATW1,train,0.5046,0.4917,A0A2G3ATW1,0.5046,0.4917,0.026,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c6b086b261e3fd036a322355a345,159,A0A3T1DGF9,train,0.5773,0.517,A0A3T1DGF9,0.5773,0.517,0.025,qtmscore,4,4,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c707d76a89e75d15c289246e20d5,159,A0A6N8BIT4,train,0.681,0.6772,A0A6N8BIT4,0.681,0.6772,0.022,qtmscore,162,159,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c8ae91f0d6947bc271cbd00fd775,162,A0A2I1C1B6,train,0.7775,0.7316,A0A2I1C1B6,0.7775,0.7316,0.077,qtmscore,233,225,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c8cfb01b74d2f7e6292f2718b407,163,A0A4U1LYX4,train,0.9155,0.8998,A0A4U1LYX4,0.9155,0.8998,0.24,qtmscore,99,97,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8c9c9b1697d901a1d4a53a811d1c9,159,A0A7X6X1R9,train,0.8411,0.7727,A0A7X6X1R9,0.8411,0.7727,0.49,qtmscore,5,5,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8cab9133166ace31909df41151ab4,164,A0A7X2TSG4,train,0.8841,0.8592,A0A7X2TSG4,0.8841,0.8592,0.246,qtmscore,194,186,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8cbf237dbbd48366ca6b7af5c5c92,161,A0A849WG62,train,0.457,0.4549,A0A849WG62,0.457,0.4549,0.012,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8cc91b14dde9b0a8c92f8dd464439,160,A0A1I5ILP5,train,0.6484,0.5749,A0A1I5ILP5,0.6484,0.5749,0.244,qtmscore,10,10,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ccbdd8fb4058cabe605d8db0d8d6,160,A0A395V597,train,0.9083,0.882,A0A395V597,0.9083,0.882,0.301,qtmscore,20,19,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8cef8251a78fef0f53a86908ae154,160,A0A388KIH0,train,0.5666,0.5388,A0A388KIH0,0.5666,0.5388,0.029,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d09f4e6a410c2b962185a43be6d4,163,A0A6M8V2W7,train,0.6375,0.6183,A0A6M8V2W7,0.6375,0.6183,0.018,qtmscore,122,121,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d256622593177a539d1e0ab65540,164,A0A840X2C7,train,0.4755,0.422,A0A840X2C7,0.4755,0.422,0.01,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d323812de09d051b2d8ff576bafc,161,A0A1Y4UUS6,train,0.4698,0.4609,A0A1Y4UUS6,0.4698,0.4609,0.013,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d357ea1e27151510b4b853aa67c9,163,A0A1F8P4W3,train,0.6034,0.5975,A0A1F8P4W3,0.6034,0.5975,0.026,qtmscore,22,22,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d4cbb90e6d6c8d3869a78ebf6b3f,159,A0A541BB74,train,0.8351,0.8304,A0A541BB74,0.8351,0.8304,0.296,qtmscore,22,21,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d64d774e92259ec355f0fabf6b68,159,A0A1E7FP43,train,0.7957,0.5634,A0A1E7FP43,0.7957,0.5634,0.113,qtmscore,7,7,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d81e6c186fb831717e8a7fb68567,163,A0A1G0ZVL4,train,0.7978,0.7703,A0A1G0ZVL4,0.7978,0.7703,0.11,qtmscore,293,286,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d91bf132ae6445bee617ae9db255,161,A0A1A8BMW6,train,0.5919,0.5203,A0A1A8BMW6,0.5919,0.5203,0.034,qtmscore,6,6,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d954de2d030fb15c6cb903f53149,160,A0A117NML6,train,0.4255,0.4137,A0A117NML6,0.4255,0.4137,0.014,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d9c358cc0b4e69fe5bd544f72e6f,163,A0A2B8BHA1,train,0.6994,0.6427,A0A2B8BHA1,0.6994,0.6427,0.091,qtmscore,52,46,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8d9edc0487cbcf0f2e60feffe7010,162,A0A4R5CG43,train,0.5484,0.4723,A0A4R5CG43,0.5484,0.4723,0.03,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8da1ae092868adf4a2ec8277091ee,160,A0A7Y4QN50,train,0.8745,0.8544,A0A7Y4QN50,0.8745,0.8544,0.142,qtmscore,174,170,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8da66058f315c2e84b2e0bf35ec76,164,A0A432SZW6,train,0.956,0.9504,A0A432SZW6,0.956,0.9504,0.306,qtmscore,173,172,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8db873960e80b1c0493ec88b6e237,159,A0A6L9SU58,train,0.8815,0.6226,A0A6L9SU58,0.8815,0.6226,0.218,qtmscore,14,14,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8dc1bae4f01156043604375ca51cd,160,A0A2E6PSF8,train,0.8042,0.6377,A0A2E6PSF8,0.8042,0.6377,0.164,qtmscore,4,4,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8dc9f69933194dca4e53af4af0de3,159,A0A6A7KSB7,train,0.5557,0.5393,A0A6A7KSB7,0.5557,0.5393,0.088,qtmscore,2,2,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8dd3e9a79bfd0516fe89804f0843f,161,A0A811U106,train,0.8532,0.8485,A0A811U106,0.8532,0.8485,0.075,qtmscore,138,135,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8de9fb75f8497d20427f2fb47271a,164,A0A1G8F2H3,train,0.7437,0.4726,A0A1G8F2H3,0.7437,0.4726,0.101,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8deb28b33b6593afd3fc2579d94d2,163,A0A329YPT7,train,0.7765,0.6425,A0A329YPT7,0.7765,0.6425,0.176,qtmscore,27,26,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e058a9637e4b8fb098edc68910c9,161,A0A4V1HE58,train,0.5212,0.4832,A0A4V1HE58,0.5212,0.4832,0.017,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e305e5b746a0084c8b30db2a8ac0,159,A0A2K9NQY1,train,0.8927,0.4744,A0A2K9NQY1,0.8927,0.4744,0.534,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e34786479ab572bc1949e030fe6d,159,A0A1Q7GIV1,train,0.471,0.4447,A0A1Q7GIV1,0.471,0.4447,0.07,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e4249f247c74ef3c709b27fb1a69,161,A0A5C7P1I3,train,0.8551,0.7866,A0A5C7P1I3,0.8551,0.7866,0.305,qtmscore,6,6,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e52237207c425f8c2f19f881e94f,164,A0A2A4SWV7,train,0.9144,0.9038,A0A2A4SWV7,0.9144,0.9038,0.272,qtmscore,174,172,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e7e31993f748ff88ed9e5e3c1c7b,164,A0A367ZAF1,train,0.9046,0.889,A0A367ZAF1,0.9046,0.889,0.222,qtmscore,109,107,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e8003ca6791cd7e3e929ddd277d2,159,A0A7D9K5G0,train,0.7951,0.786,A0A7D9K5G0,0.7951,0.786,0.102,qtmscore,252,247,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e88efc303d1c1a916d3e1b6601d8,159,A0A0P1BDV2,train,0.5235,0.5133,A0A0P1BDV2,0.5235,0.5133,0.028,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e8c9f6ca11f779b7311a893fd96e,163,A0A660VR09,train,0.9156,0.9103,A0A660VR09,0.9156,0.9103,0.416,qtmscore,159,156,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e8d29689bc064deb6e4ba48db001,164,A0A3N0CK04,train,0.7781,0.7657,A0A3N0CK04,0.7781,0.7657,0.088,qtmscore,267,259,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8e985197492be7370dbc70230152c,159,A0A1H5LK33,train,0.5725,0.5662,A0A1H5LK33,0.5725,0.5662,0.052,qtmscore,27,27,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ea01eecfc8425e52969ccd25397b,164,A0A0C5WD99,train,0.9764,0.9354,A0A0C5WD99,0.9764,0.9354,0.503,qtmscore,237,233,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ea0b16b37208e3d4b2a8496c2247,161,A0A3P8NTL0,train,0.9296,0.9186,A0A3P8NTL0,0.9296,0.9186,0.319,qtmscore,297,286,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8eba7c8edbc582879d690f60bb16f,162,A0A2H0N7A5,train,0.6166,0.4936,A0A2H0N7A5,0.6166,0.4936,0.051,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ebdcb608d4ce3e52349ba99e7a02,161,A0A1G0CJB8,train,0.5639,0.5608,A0A1G0CJB8,0.5639,0.5608,0.092,qtmscore,18,16,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ec02167f61ab374db6003ab979ba,160,C1MKU6,train,0.5082,0.5032,C1MKU6,0.5082,0.5032,0.037,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8ed4ea8d9729efdfa99ea42c794ba,160,A0A225VHJ2,train,0.5622,0.5486,A0A225VHJ2,0.5622,0.5486,0.055,qtmscore,5,5,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
