stem,query,target,alntmscore,qtmscore,ttmscore,lddt,fident,alnlen,evalue
09b8a72c154ee9441ccdfd11e71eded6,09b8a72c154ee9441ccdfd11e71eded6,8qt5-assembly3_F,0.4458,0.4311,0.3077,0.3381,0.023,260,0.3484
09b8a82ef076a3ef76ca541d4185b3c3,09b8a82ef076a3ef76ca541d4185b3c3,7z3p-assembly2_B,0.6651,0.6103,0.4992,0.5207,0.051,214,0.5254
09b8a8d9c3932d0c5c2dc51691663cbd,09b8a8d9c3932d0c5c2dc51691663cbd,3kq4-assembly1_B,0.8179,0.7152,0.2698,0.6983,0.074,296,0.4815
09b8a8e02c6a437ac5c18fab9f9a05d9,09b8a8e02c6a437ac5c18fab9f9a05d9,2cqt-assembly1_B,0.4892,0.4707,0.1196,0.3477,0.019,259,0.2733
09b8a933662007f4dc687a344d9611b9,09b8a933662007f4dc687a344d9611b9,4rwd-assembly2_B,0.4863,0.423,0.1932,0.5139,0.022,222,0.2901
09b8a9672c6943852c85e155df2e7f52,09b8a9672c6943852c85e155df2e7f52,8wnt-assembly1_B,0.4542,0.4456,0.1901,0.3487,0.014,495,0.2957
09b8aa3a46fd69e7256cbd3393092a23,09b8aa3a46fd69e7256cbd3393092a23,5m11-assembly1_A,0.4884,0.4288,0.1182,0.4574,0.015,779,0.2547
09b8aa3c54480e2678f7d83566198322,09b8aa3c54480e2678f7d83566198322,8xn1-assembly1_B,0.4672,0.4649,0.2575,0.5002,0.017,232,0.3392
09b8ab35a1b62cfa44e88bbd6f4891e4,09b8ab35a1b62cfa44e88bbd6f4891e4,6vw7-assembly1_A,0.9828,0.8945,0.9764,0.9171,0.566,150,0.9279
09b8ada6e07778da12b09e063155e496,09b8ada6e07778da12b09e063155e496,8ras-assembly1_F,0.4052,0.3997,0.1451,0.2796,0.01,564,0.2513
09b8adc12bfc91b18b010321d9aa91c8,09b8adc12bfc91b18b010321d9aa91c8,7fik-assembly1_b,0.5008,0.4397,0.1519,0.5446,0.019,301,0.2737
09b8ae1a0129a36798b248548f139cdb,09b8ae1a0129a36798b248548f139cdb,8i7r-assembly1_Fg,0.697,0.5787,0.3316,0.7632,0.052,172,0.4318
09b8ae8b93e736f644d38f9610aa94c9,09b8ae8b93e736f644d38f9610aa94c9,8snb-assembly1_8T,0.8018,0.5759,0.2456,0.8756,0.088,113,0.3979
09b8aef2f856078dbaf767080abb48e0,09b8aef2f856078dbaf767080abb48e0,6h2f-assembly1_H,0.5626,0.5421,0.273,0.6744,0.034,232,0.3955
09b8b03fcc5cc068d28a8ee12311fadf,09b8b03fcc5cc068d28a8ee12311fadf,1u77-assembly1_A,0.6263,0.546,0.2622,0.4749,0.029,373,0.3801
09b8b241f8a91a3c258fedff209b145b,09b8b241f8a91a3c258fedff209b145b,7w78-assembly1_B,0.6311,0.5233,0.2759,0.5555,0.03,326,0.3743
09b8b30677747e95b881b36814d5492b,09b8b30677747e95b881b36814d5492b,7u3a-assembly1_B,0.9115,0.9011,0.2246,0.8663,0.329,249,0.5507
09b8b336b589fbf524b9923b5c0f8fb2,09b8b336b589fbf524b9923b5c0f8fb2,7pmy-assembly1_A,0.7102,0.513,0.1424,0.4857,0.058,136,0.3125
09b8b35680a269b4315e6c5440ec299b,09b8b35680a269b4315e6c5440ec299b,2x1h-assembly2_B,0.8951,0.8631,0.4185,0.8037,0.27,251,0.63
09b8b3628ee12eb223bb5fd391fce9b2,09b8b3628ee12eb223bb5fd391fce9b2,1nui-assembly2_B,0.7651,0.6696,0.4752,0.6268,0.165,157,0.5531
09b8b4f6487f963c65b4be8b48238092,09b8b4f6487f963c65b4be8b48238092,1u3e-assembly1_M,0.8511,0.5569,0.5267,0.768,0.254,114,0.5299
09b8b7916beb7aa2b8dc1b5ff356b025,09b8b7916beb7aa2b8dc1b5ff356b025,2r7d-assembly2_B,0.5168,0.4381,0.1786,0.4457,0.046,387,0.2907
09b8b7f297cbcba9dc64a7bf4915f479,09b8b7f297cbcba9dc64a7bf4915f479,4jdg-assembly1_A,0.8123,0.7546,0.4648,0.7285,0.21,176,0.5986
09b8b953d7a55a9f4ed12477ab0b5e9f,09b8b953d7a55a9f4ed12477ab0b5e9f,5i9j-assembly1_A,0.4819,0.3899,0.3121,0.4595,0.03,199,0.3317
09b8ba719b1b0027bf665bb1ac44ccc0,09b8ba719b1b0027bf665bb1ac44ccc0,8bbe-assembly1_D,0.7152,0.6623,0.1897,0.6159,0.026,522,0.4055
09b8ba8a87d8cda887b5e8de483798c6,09b8ba8a87d8cda887b5e8de483798c6,7vaa-assembly1_B,0.7497,0.7258,0.2894,0.6267,0.103,202,0.487
09b8bbe0555440447bb4c903f309bd51,09b8bbe0555440447bb4c903f309bd51,8gh6-assembly1_A,0.6233,0.5418,0.1123,0.4361,0.059,168,0.3127
09b8bc34b2b51f7d7520108ee203144d,09b8bc34b2b51f7d7520108ee203144d,3v8v-assembly2_B,0.7275,0.7242,0.2069,0.5532,0.015,323,0.4463
09b8bca2cbf133af982a142ef2fd8173,09b8bca2cbf133af982a142ef2fd8173,3iko-assembly3_I,0.4857,0.4834,0.224,0.3301,0.039,255,0.3271
09b8bcf5d31cf165c83b0c3012d4f7a9,09b8bcf5d31cf165c83b0c3012d4f7a9,6r37-assembly1_A-2,0.5497,0.5285,0.3043,0.4033,0.035,312,0.3847
09b8bd006ae5157f7dce3516a988cd9f,09b8bd006ae5157f7dce3516a988cd9f,3ag9-assembly3_B-2,0.9002,0.6309,0.3293,0.6739,0.204,142,0.4724
09b8bd24cbef82320fc3310448e51dea,09b8bd24cbef82320fc3310448e51dea,5xua-assembly2_C,0.7423,0.6248,0.7153,0.6157,0.04,150,0.6293
09b8be0b71a3f4873c9a49565031ce70,09b8be0b71a3f4873c9a49565031ce70,2oaj-assembly1_A,0.6059,0.569,0.1246,0.579,0.029,446,0.3281
09b8be78d8180d574dbde59f07b47e24,09b8be78d8180d574dbde59f07b47e24,3usi-assembly1_A,0.4727,0.4439,0.1805,0.4215,0.011,507,0.2858
09b8c079cddd6936ef9e156437e7109d,09b8c079cddd6936ef9e156437e7109d,3udc-assembly1_G,0.5473,0.4335,0.2893,0.4234,0.019,155,0.3386
09b8c0ab244d49cbfe2f10f3e216ca46,09b8c0ab244d49cbfe2f10f3e216ca46,7tui-assembly1_A,0.4803,0.4707,0.06938,0.4646,0.003,1187,0.2508
09b8c0d745f204ed29e3e98b80330f1c,09b8c0d745f204ed29e3e98b80330f1c,8db0-assembly2_B,0.5339,0.4543,0.219,0.408,0.015,400,0.3163
09b8c19ed563341a721a4a37fb0c36f4,09b8c19ed563341a721a4a37fb0c36f4,8ooz-assembly1_E,0.4726,0.4311,0.1984,0.3081,0.016,417,0.2874
09b8c476390668f50479723218b24854,09b8c476390668f50479723218b24854,6z0c-assembly4_D,0.5585,0.5556,0.4845,0.5418,0.047,210,0.4884
09b8c481efd761d0d7340de676792c73,09b8c481efd761d0d7340de676792c73,7bwr-assembly1_B,0.4604,0.4205,0.1025,0.4403,0.01,479,0.2433
09b8c505c9c97ff93527ee9283e3684e,09b8c505c9c97ff93527ee9283e3684e,6qk7-assembly1_A,0.4766,0.4334,0.07284,0.6123,0.012,235,0.2382
09b8c6b086b261e3fd036a322355a345,09b8c6b086b261e3fd036a322355a345,6eu2-assembly1_O,0.4736,0.4243,0.1572,0.3316,0.007,516,0.2698
09b8c707d76a89e75d15c289246e20d5,09b8c707d76a89e75d15c289246e20d5,7mi0-assembly1_A,0.6584,0.6549,0.3112,0.5499,0.038,392,0.4569
09b8c8ae91f0d6947bc271cbd00fd775,09b8c8ae91f0d6947bc271cbd00fd775,4tpj-assembly1_A,0.8542,0.7002,0.2711,0.7386,0.092,141,0.4724
09b8c8cfb01b74d2f7e6292f2718b407,09b8c8cfb01b74d2f7e6292f2718b407,1n5w-assembly1_D,0.909,0.8675,0.893,0.7856,0.235,157,0.8559
09b8c9c9b1697d901a1d4a53a811d1c9,09b8c9c9b1697d901a1d4a53a811d1c9,3k94-assembly1_A,0.6086,0.4729,0.3687,0.4985,0.065,182,0.3931
09b8cab9133166ace31909df41151ab4,09b8cab9133166ace31909df41151ab4,2qe9-assembly1_B,0.837,0.7909,0.7998,0.644,0.136,161,0.7646
09b8cbf237dbbd48366ca6b7af5c5c92,09b8cbf237dbbd48366ca6b7af5c5c92,6cmm-assembly4_D,0.4563,0.454,0.268,0.336,0.037,265,0.333
09b8cc91b14dde9b0a8c92f8dd464439,09b8cc91b14dde9b0a8c92f8dd464439,7z1h-assembly1_A,0.4637,0.4596,0.06032,0.3289,0.006,1150,0.2364
09b8ccbdd8fb4058cabe605d8db0d8d6,09b8ccbdd8fb4058cabe605d8db0d8d6,2hcz-assembly1_X,0.4377,0.4289,0.3054,0.3687,0.043,231,0.3428
09b8cef8251a78fef0f53a86908ae154,09b8cef8251a78fef0f53a86908ae154,6lgl-assembly1_O,0.5965,0.4419,0.06692,0.638,0.004,1126,0.2382
09b8d09f4e6a410c2b962185a43be6d4,09b8d09f4e6a410c2b962185a43be6d4,8vbb-assembly1_A,0.6577,0.5637,0.1105,0.4632,0.013,289,0.3158
09b8d256622593177a539d1e0ab65540,09b8d256622593177a539d1e0ab65540,7r8p-assembly1_A,0.4628,0.3729,0.1909,0.3532,0.035,257,0.2654
09b8d323812de09d051b2d8ff576bafc,09b8d323812de09d051b2d8ff576bafc,8wgo-assembly1_A,0.3994,0.3803,0.09892,0.45,0.01,744,0.2175
09b8d357ea1e27151510b4b853aa67c9,09b8d357ea1e27151510b4b853aa67c9,6krz-assembly3_C,0.6649,0.5484,0.3451,0.4551,0.05,177,0.4215
09b8d4cbb90e6d6c8d3869a78ebf6b3f,09b8d4cbb90e6d6c8d3869a78ebf6b3f,7ojr-assembly1_A,0.5534,0.4534,0.1828,0.5119,0.012,234,0.3025
09b8d64d774e92259ec355f0fabf6b68,09b8d64d774e92259ec355f0fabf6b68,3ob9-assembly4_D,0.9185,0.5193,0.8711,0.84,0.444,90,0.6843
09b8d81e6c186fb831717e8a7fb68567,09b8d81e6c186fb831717e8a7fb68567,8twd-assembly2_D,0.7637,0.7512,0.3917,0.7178,0.173,190,0.5552
09b8d91bf132ae6445bee617ae9db255,09b8d91bf132ae6445bee617ae9db255,3odo-assembly2_B,0.5565,0.4888,0.2353,0.4501,0.012,240,0.3446
09b8d954de2d030fb15c6cb903f53149,09b8d954de2d030fb15c6cb903f53149,5f4y-assembly1_A,0.3734,0.3463,0.3329,0.3519,0.033,211,0.3053
09b8d9c358cc0b4e69fe5bd544f72e6f,09b8d9c358cc0b4e69fe5bd544f72e6f,6su4-assembly1_A,0.5889,0.5554,0.3877,0.5018,0.032,214,0.4388
09b8d9edc0487cbcf0f2e60feffe7010,09b8d9edc0487cbcf0f2e60feffe7010,8auc-assembly3_B,0.5597,0.4569,0.1823,0.5472,0.025,438,0.2971
09b8da1ae092868adf4a2ec8277091ee,09b8da1ae092868adf4a2ec8277091ee,5uxx-assembly1_A,0.8306,0.7845,0.7845,0.6772,0.203,162,0.7501
09b8da66058f315c2e84b2e0bf35ec76,09b8da66058f315c2e84b2e0bf35ec76,8ctr-assembly4_D,0.9441,0.9386,0.5286,0.822,0.261,180,0.7235
09b8db873960e80b1c0493ec88b6e237,09b8db873960e80b1c0493ec88b6e237,9d93-assembly1_La,0.86,0.5026,0.7147,0.6921,0.184,103,0.5902
09b8dc1bae4f01156043604375ca51cd,09b8dc1bae4f01156043604375ca51cd,7m69-assembly1_A,0.4828,0.4264,0.06727,0.4515,0.038,235,0.2281
09b8dc9f69933194dca4e53af4af0de3,09b8dc9f69933194dca4e53af4af0de3,2r6g-assembly1_A,0.5589,0.4411,0.2111,0.4766,0.011,340,0.3102
09b8dd3e9a79bfd0516fe89804f0843f,09b8dd3e9a79bfd0516fe89804f0843f,3gvc-assembly1_B,0.8803,0.8704,0.5697,0.6952,0.11,244,0.698
09b8de9fb75f8497d20427f2fb47271a,09b8de9fb75f8497d20427f2fb47271a,7zn2-assembly1_c,0.5148,0.5025,0.1119,0.4387,0.039,226,0.286
09b8deb28b33b6593afd3fc2579d94d2,09b8deb28b33b6593afd3fc2579d94d2,7ag9-assembly1_A,0.5367,0.4158,0.2105,0.4991,0.015,329,0.2913
09b8e058a9637e4b8fb098edc68910c9,09b8e058a9637e4b8fb098edc68910c9,8rg0-assembly1_u,0.4817,0.4691,0.1552,0.3835,0.02,288,0.2899
09b8e305e5b746a0084c8b30db2a8ac0,09b8e305e5b746a0084c8b30db2a8ac0,7w8g-assembly1_C,0.4773,0.355,0.1171,0.4032,0.0,644,0.2157
09b8e34786479ab572bc1949e030fe6d,09b8e34786479ab572bc1949e030fe6d,6zng-assembly1_E,0.8396,0.4457,0.1013,0.8406,0.555,81,0.2673
09b8e4249f247c74ef3c709b27fb1a69,09b8e4249f247c74ef3c709b27fb1a69,7op3-assembly1_A,0.429,0.4271,0.0812,0.4377,0.011,694,0.2363
09b8e52237207c425f8c2f19f881e94f,09b8e52237207c425f8c2f19f881e94f,1y88-assembly1_A,0.6836,0.6762,0.6102,0.5721,0.061,212,0.6178
09b8e7e31993f748ff88ed9e5e3c1c7b,09b8e7e31993f748ff88ed9e5e3c1c7b,7kl8-assembly1_B,0.9115,0.764,0.887,0.7894,0.328,140,0.8071
09b8e8003ca6791cd7e3e929ddd277d2,09b8e8003ca6791cd7e3e929ddd277d2,8c8j-assembly1_A,0.7469,0.6785,0.1653,0.6698,0.146,171,0.4121
09b8e88efc303d1c1a916d3e1b6601d8,09b8e88efc303d1c1a916d3e1b6601d8,6jeh-assembly1_B,0.4656,0.463,0.1273,0.3696,0.031,353,0.278
09b8e8c9f6ca11f779b7311a893fd96e,09b8e8c9f6ca11f779b7311a893fd96e,4j6o-assembly2_B,0.8846,0.7692,0.4997,0.7272,0.327,159,0.6201
09b8e8d29689bc064deb6e4ba48db001,09b8e8d29689bc064deb6e4ba48db001,8pb6-assembly1_A,0.757,0.7504,0.4141,0.5676,0.041,292,0.5577
09b8e985197492be7370dbc70230152c,09b8e985197492be7370dbc70230152c,4ke2-assembly2_B,0.6018,0.5218,0.4335,0.6613,0.075,172,0.4572
09b8ea01eecfc8425e52969ccd25397b,09b8ea01eecfc8425e52969ccd25397b,2nx8-assembly1_A-2,0.9756,0.9347,0.9129,0.898,0.416,161,0.9171
09b8ea0b16b37208e3d4b2a8496c2247,09b8ea0b16b37208e3d4b2a8496c2247,8uw3-assembly1_A,0.7991,0.7948,0.1157,0.7568,0.201,169,0.4371
09b8eba7c8edbc582879d690f60bb16f,09b8eba7c8edbc582879d690f60bb16f,6j6u-assembly1_B,0.5249,0.4639,0.1744,0.373,0.024,242,0.2989
09b8ebdcb608d4ce3e52349ba99e7a02,09b8ebdcb608d4ce3e52349ba99e7a02,6z94-assembly2_B,0.5902,0.5349,0.5661,0.6351,0.126,197,0.5266
09b8ec02167f61ab374db6003ab979ba,09b8ec02167f61ab374db6003ab979ba,7nh9-assembly1_A,0.4943,0.4868,0.2679,0.4993,0.03,291,0.3547
09b8ed4ea8d9729efdfa99ea42c794ba,09b8ed4ea8d9729efdfa99ea42c794ba,6h6f-assembly1_E,0.6001,0.516,0.04615,0.5852,0.003,1819,0.2612
09b8ed9b18064f2d332272e495703d2f,09b8ed9b18064f2d332272e495703d2f,7t5q-assembly1_I,0.4215,0.4195,0.2755,0.3616,0.035,279,0.3183
09b8eedf5cc6e7223c16a8999566ef78,09b8eedf5cc6e7223c16a8999566ef78,3s29-assembly1_B,0.5435,0.5206,0.1356,0.4722,0.015,732,0.3031
09b8eef5450d31f1568f47346e23a7d5,09b8eef5450d31f1568f47346e23a7d5,6asg-assembly1_C,0.3672,0.3415,0.06899,0.4315,0.007,521,0.1898
09b8ef5e3f6a72b92b25a39eef00f7e7,09b8ef5e3f6a72b92b25a39eef00f7e7,4h3z-assembly1_A,0.6409,0.6312,0.4281,0.6466,0.181,215,0.5135
09b8efb25d63c8b1c9d7493ea22c1607,09b8efb25d63c8b1c9d7493ea22c1607,5xn5-assembly1_B,0.9418,0.9362,0.5469,0.8263,0.371,175,0.7314
09b8efef883485af7daf9f85490d1879,09b8efef883485af7daf9f85490d1879,8g04-assembly1_B,0.6045,0.4886,0.2285,0.4229,0.026,227,0.3371
09b8f11ef2a1bd0ae1d22c6ca14199fd,09b8f11ef2a1bd0ae1d22c6ca14199fd,3jc8-assembly1_Ca,0.6863,0.6513,0.3664,0.6484,0.13,176,0.4837
09b8f14a211bebfd6c98d06a9decb861,09b8f14a211bebfd6c98d06a9decb861,9br7-assembly1_A,0.9044,0.8833,0.3677,0.8321,0.279,161,0.6122
09b8f2241d1397e414b1d57cf829dc83,09b8f2241d1397e414b1d57cf829dc83,7bt2-assembly1_A,0.4553,0.4318,0.09103,0.4101,0.006,780,0.2436
09b8f4f4fbad1777e0c4590d1c84ce6c,09b8f4f4fbad1777e0c4590d1c84ce6c,1nug-assembly1_A,0.6517,0.6039,0.1569,0.582,0.04,299,0.3683
09b8f5bbd7c13d1bd81328e6139a329d,09b8f5bbd7c13d1bd81328e6139a329d,7w7h-assembly1_A,0.5099,0.498,0.1871,0.4119,0.031,225,0.3177
09b8f5bbe3cf3b08afd191b64446d809,09b8f5bbe3cf3b08afd191b64446d809,8y0w-assembly1_LE,0.6953,0.3744,0.2654,0.588,0.068,147,0.3093
09b8f7e3bee62c26b279de618be24424,09b8f7e3bee62c26b279de618be24424,1pu8-assembly2_B,0.9278,0.9223,0.7046,0.8281,0.273,183,0.8047
09b8f8028878e75ce55ce83b78bd7bea,09b8f8028878e75ce55ce83b78bd7bea,7saz-assembly1_B,0.5168,0.4745,0.3772,0.4636,0.034,201,0.4025
09b8f946060c8c7375bc17ab5e8c3026,09b8f946060c8c7375bc17ab5e8c3026,5gm6-assembly1_A,0.4398,0.4321,0.04855,0.389,0.008,1465,0.2167
09b8f973e63766fd0fdc2ef2e16d20ac,09b8f973e63766fd0fdc2ef2e16d20ac,3jbp-assembly1_AR,0.5695,0.4576,0.3163,0.4401,0.074,147,0.3605
09b8fad88581863b19d6e7e17598fe17,09b8fad88581863b19d6e7e17598fe17,6h5q-assembly1_B,0.5244,0.4638,0.2264,0.3775,0.026,336,0.3217
09b900c4b96897a8e65c5fb2c87016d9,09b900c4b96897a8e65c5fb2c87016d9,3rpu-assembly1_A,0.7095,0.6402,0.3607,0.6568,0.053,187,0.4829
09b901896001ba40571441fe5f377e38,09b901896001ba40571441fe5f377e38,6a2a-assembly1_B,0.54,0.5303,0.2114,0.418,0.027,502,0.3396
09b902070229df8f4ec81494d53de135,09b902070229df8f4ec81494d53de135,5dzr-assembly1_A,0.456,0.4538,0.1,0.4358,0.006,779,0.2563
09b902fef0c57cfd8a0f8b0471dd6188,09b902fef0c57cfd8a0f8b0471dd6188,6zbl-assembly1_A,0.5074,0.4273,0.1283,0.4352,0.032,278,0.2584
09b903537e06f1127a713633f87c4990,09b903537e06f1127a713633f87c4990,8j80-assembly1_A,0.8863,0.8812,0.5088,0.7255,0.152,210,0.6765
09b904807674befdf253d3f1ba15a2c4,09b904807674befdf253d3f1ba15a2c4,6tqe-assembly1_A,0.547,0.4673,0.1486,0.5582,0.017,392,0.2852
09b904aa2e99f8cfe848ed8d4c613490,09b904aa2e99f8cfe848ed8d4c613490,6zyx-assembly1_Y,0.4414,0.437,0.09362,0.3487,0.017,631,0.2437
09b90553c54bf8e10936f41a65fd1c93,09b90553c54bf8e10936f41a65fd1c93,4akr-assembly2_D,0.4737,0.4508,0.3234,0.4201,0.018,271,0.3588
09b9060d3067613456d20ed8b41de1cb,09b9060d3067613456d20ed8b41de1cb,8kd2-assembly1_B,0.4879,0.446,0.1724,0.5974,0.02,291,0.2871
09b9060d53d90c373600e4ce19e3bdcc,09b9060d53d90c373600e4ce19e3bdcc,9atl-assembly1_K,0.6844,0.6529,0.3102,0.6311,0.059,322,0.4539
09b90666f47ef6960f4ee5ff92f0a925,09b90666f47ef6960f4ee5ff92f0a925,8afz-assembly1_A,0.4358,0.3854,0.1902,0.4229,0.034,232,0.2699
09b90681c39405707bfe4ee8c4e22887,09b90681c39405707bfe4ee8c4e22887,5w98-assembly1_A,0.6725,0.5075,0.295,0.5457,0.05,298,0.3803
09b906b93934f539f4cd1a03fbe815d2,09b906b93934f539f4cd1a03fbe815d2,8scx-assembly1_B,0.4883,0.4265,0.4855,0.3977,0.015,194,0.4201
09b908ba875d6bab3f929acdf9fc282a,09b908ba875d6bab3f929acdf9fc282a,5yzg-assembly1_A,0.3741,0.3622,0.03953,0.3968,0.007,659,0.1817
09b909948046997a7aef17b425ba1700,09b909948046997a7aef17b425ba1700,3bj6-assembly1_B,0.8557,0.7938,0.8455,0.7832,0.176,153,0.7873
09b909d77e74b9e24a21a583f40f6318,09b909d77e74b9e24a21a583f40f6318,8wjl-assembly1_A,0.408,0.3967,0.174,0.3935,0.018,264,0.2612
09b909d84f672ced9f6dcb553321cf1a,09b909d84f672ced9f6dcb553321cf1a,8qby-assembly1_q,0.7542,0.5764,0.7121,0.7394,0.328,128,0.6124
09b90a73e8704e8706a6fe5c6c047e3a,09b90a73e8704e8706a6fe5c6c047e3a,8snc-assembly1_A,0.4309,0.4266,0.1702,0.3553,0.015,394,0.2768
09b90ab23ebdde24784cf393f3dedecd,09b90ab23ebdde24784cf393f3dedecd,2hyx-assembly2_D,0.8875,0.8719,0.4394,0.7437,0.198,176,0.6422
09b90c353665f264808538f2a69f0be3,09b90c353665f264808538f2a69f0be3,2rfr-assembly1_A,0.8603,0.7811,0.8238,0.7703,0.245,155,0.7824
09b90ccdc3bab2f0e812958caeed501b,09b90ccdc3bab2f0e812958caeed501b,1u69-assembly1_A,0.9652,0.9239,0.947,0.8854,0.392,158,0.9266
09b90e0d247b8db69ce0b45bc8292a5c,09b90e0d247b8db69ce0b45bc8292a5c,4qx6-assembly1_A,0.4971,0.4273,0.2359,0.4156,0.017,283,0.3103
09b90f6bda6d673dc5006b13eceb20f8,09b90f6bda6d673dc5006b13eceb20f8,1noy-assembly1_B,0.468,0.4658,0.2515,0.4306,0.039,277,0.3316
09b90f6fc0a78a151a1e7fbeac04e110,09b90f6fc0a78a151a1e7fbeac04e110,5fmr-assembly2_B,0.8685,0.6014,0.4058,0.6663,0.141,120,0.494
09b90f9c25015cdedc641d8c3cfd6760,09b90f9c25015cdedc641d8c3cfd6760,5f5p-assembly1_A,0.5977,0.3621,0.3266,0.7319,0.052,95,0.3233
09b90fcab5f501b29bea931a3908ac5f,09b90fcab5f501b29bea931a3908ac5f,7sqc-assembly1_1Y,0.6144,0.5393,0.3411,0.6873,0.012,236,0.4236
09b910a43c6fa6797262eaf612cb05eb,09b910a43c6fa6797262eaf612cb05eb,7jh5-assembly2_B,0.5758,0.5107,0.3294,0.4839,0.028,250,0.3876
09b911122ffb20f57e360426bf65e5b0,09b911122ffb20f57e360426bf65e5b0,5z7b-assembly1_A,0.681,0.5504,0.4583,0.5189,0.063,206,0.4759
09b911144504e4c3ca423d0610567e1f,09b911144504e4c3ca423d0610567e1f,7aan-assembly1_B,0.7735,0.5833,0.357,0.6622,0.045,221,0.4487
09b91153ae23c2fe471c367b714e47fe,09b91153ae23c2fe471c367b714e47fe,3s3t-assembly1_A,0.8753,0.7592,0.8363,0.7442,0.253,146,0.7741
09b912160ef8df7cc185998c62f685f2,09b912160ef8df7cc185998c62f685f2,6uu8-assembly1_FFF,0.9127,0.7323,0.4456,0.7761,0.369,130,0.5805
09b9122ce9b9bd3aa57af74196604450,09b9122ce9b9bd3aa57af74196604450,6b9t-assembly1_B,0.7568,0.4832,0.1887,0.6385,0.022,445,0.325
09b91238450bd2d42d5b715f21520d46,09b91238450bd2d42d5b715f21520d46,2eey-assembly1_A,0.963,0.9511,0.9395,0.885,0.456,160,0.9362
09b912606bd658c3defb223494d6b99a,09b912606bd658c3defb223494d6b99a,9d93-assembly1_Re,0.8385,0.5346,0.7877,0.5575,0.152,105,0.6375
09b912e9daa3c9316092d3c64de227f3,09b912e9daa3c9316092d3c64de227f3,6bq1-assembly1_A,0.5488,0.5312,0.07547,0.4781,0.038,288,0.2826
09b913de9222e941cbd5b44435564bd4,09b913de9222e941cbd5b44435564bd4,5jfq-assembly1_B,0.4845,0.4684,0.2839,0.2739,0.02,290,0.3482
09b916bf2e231dab68982a9c3dbf8be7,09b916bf2e231dab68982a9c3dbf8be7,9cpb-assembly1_5M,0.6203,0.5478,0.2476,0.7183,0.029,203,0.3797
09b917b023bac3b1433ef832bc95cdd5,09b917b023bac3b1433ef832bc95cdd5,7n0k-assembly1_A,0.7313,0.5641,0.3088,0.535,0.023,209,0.4166
09b9181972201af7f79c444cbcf4ccb1,09b9181972201af7f79c444cbcf4ccb1,7wu5-assembly1_R,0.4852,0.375,0.2333,0.6332,0.017,224,0.2857
09b9187fbee987657d0b49fe7a4c24e8,09b9187fbee987657d0b49fe7a4c24e8,3cax-assembly1_A-2,0.7423,0.6911,0.3443,0.6049,0.047,169,0.4959
09b918818fb2839f1f73c7cc717e0c8c,09b918818fb2839f1f73c7cc717e0c8c,2w01-assembly1_B,0.7131,0.6827,0.5789,0.6297,0.216,199,0.6021
09b919e20cd072c4a19767c669197e60,09b919e20cd072c4a19767c669197e60,7pqg-assembly1_A,0.427,0.4196,0.2667,0.351,0.04,274,0.3102
09b91a1dd3ce82b63ab2e49185dd8504,09b91a1dd3ce82b63ab2e49185dd8504,8wjh-assembly1_A,0.8908,0.8705,0.2986,0.7481,0.061,356,0.5719
